No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
6443,UAMY,United States Antimony Corporation,Basic Materials,Industrial Metals & Minerals,USA,23.28M,-,-,-,2.20,2.01,77.59,232.77,-,-,-0.01,-51.70%,-,-32.30%,-,-1.90%,66.40%,-14.30%,72.40M,50.84M,24.67%,0.00%,13.80%,433.66%,0.34%,1.49,-5.00%,-8.00%,-8.30%,0.40,0.20,0.12,0.18,6.00%,-7.00%,-8.40%,2.39%,9.35%,33.96%,-2.87%,-10.45%,0.47%,0.84,0.03,6.89%,7.13%,-0.39%,12.65%,-3.97%,-9.94%,53.10%,-38.17%,60.67%,54.80,-2.58%,0.00%,-,115.47K,0.97,0.32,-2.58%,"112,502",Feb 13
6444,UAN,"CVR Partners, LP",Basic Materials,Agricultural Chemicals,USA,413.39M,-,-,-,1.22,0.71,5.91,49.21,12.64%,-,-0.53,-130.70%,64.90%,-16.50%,8.00%,3.30%,-135.30%,-11.60%,113.57M,74.02M,0.10%,-98.05%,26.40%,13.55%,0.74%,1.02,-4.60%,-9.90%,1.70%,2.00,1.20,1.08,1.08,29.80%,0.80%,-17.80%,-4.96%,5.20%,18.57%,-7.38%,-47.17%,10.98%,1.56,0.20,6.86%,5.12%,-2.99%,4.24%,-0.24%,-13.33%,21.74%,-47.63%,41.09%,48.38,-3.45%,1.62%,2.50,539.00K,0.59,3.64,-1.89%,"317,187",Feb 15/b
6445,UBA,Urstadt Biddle Properties Inc.,Financial,REIT - Retail,USA,735.37M,22.50,30.94,2.81,5.95,1.88,84.53,57.90,5.45%,117.30%,0.88,63.10%,4.92%,17.40%,8.00%,6.50%,-95.20%,2.50%,37.14M,29.50M,1.40%,-1.22%,85.20%,0.33%,1.17%,3.78,3.40%,8.40%,6.80%,-,-,0.76,0.76,67.90%,38.30%,27.40%,-0.65%,-6.12%,-10.57%,-4.35%,-14.66%,-8.92%,0.44,0.47,1.91%,2.07%,-4.69%,-9.78%,-5.53%,-17.29%,1.85%,-17.29%,8.08%,33.08,-2.08%,-0.15%,2.50,91.06K,1.10,19.80,-2.22%,"99,960",Dec 28/a
6446,UBC,UBS ETRACS CMCI Livestock Tot Ret ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.12%,3.20%,-0.20%,13.71%,2.57%,2.78%,-,0.46,1.41%,0.92%,1.48%,4.39%,13.76%,-4.01%,26.73%,-4.01%,28.33%,55.85,0.00%,0.00%,-,0.70K,0.00,20.34,0.00%,0,-
6447,UBCP,"United Bancorp, Inc.",Financial,Regional - Midwest Banks,USA,74.69M,18.73,-,-,4.32,1.51,2.74,248.98,3.52%,60.30%,0.73,10.60%,-,2.50%,-,-3.80%,10.30%,9.50%,5.47M,4.72M,2.90%,0.47%,13.30%,-0.14%,0.07%,0.66,0.80%,8.40%,27.80%,-,-,0.09,0.09,-,89.40%,21.10%,0.92%,3.45%,11.12%,14.72%,2.69%,3.06%,0.06,0.37,2.27%,2.47%,2.47%,5.53%,12.01%,-2.46%,12.39%,-2.46%,34.40%,60.02,0.00%,0.04%,-,4.80K,0.03,13.65,0.04%,137,Jan 31
6448,UBFO,United Security Bancshares,Financial,Regional - Pacific Banks,USA,189.90M,22.32,-,-,5.92,1.88,1.18,33.32,2.49%,0.00%,0.50,8.40%,-,21.60%,-,1.10%,35.40%,10.30%,16.88M,13.00M,12.60%,10.81%,30.10%,-0.08%,0.95%,5.32,1.10%,8.60%,22.00%,-,-,0.09,0.09,-,94.90%,26.60%,-3.02%,1.81%,17.80%,14.21%,47.56%,2.27%,0.38,0.18,1.23%,1.71%,0.22%,6.81%,18.10%,-3.43%,22.34%,-3.43%,65.29%,58.86,-2.60%,0.00%,-,23.26K,0.29,11.25,-2.60%,"6,839",Jan 31/a
6449,UBG,UBS ETRACS CMCI Gold Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.54,-,-,-,-,-,-,-,-,-,-,1.78%,5.55%,19.07%,9.51%,12.54%,4.40%,-,0.40,0.00%,0.09%,4.63%,5.66%,9.33%,0.50%,11.20%,0.50%,14.49%,66.62,0.00%,0.88%,-,0.58K,0.52,34.47,0.88%,300,-
6450,UBIO,ProShares UltraPro Nasdaq Biotechnology,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.53,-,-,-,-,-,-,-,-,-,-,12.13%,26.45%,16.46%,17.97%,93.28%,26.63%,-,1.77,5.01%,4.61%,14.95%,25.93%,29.57%,-3.64%,49.89%,-3.64%,100.47%,70.49,-3.71%,1.35%,-,97.41K,1.43,42.60,-2.41%,"138,982",-
6451,UBM,UBS ETRACS CMCI Indl Mtls Tot Ret ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.14,-,-,-,-,-,-,-,-,-,-,-0.30%,5.49%,21.33%,38.54%,7.41%,7.03%,-,0.68,0.10%,1.37%,2.73%,9.69%,25.26%,-18.99%,34.76%,-18.99%,34.76%,54.13,0.00%,0.61%,-,1.06K,0.00,18.26,0.61%,4,-
6452,UBN,UBS ETRACS CMCI Energy Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.86,-,-,-,-,-,-,-,-,-,-,1.10%,25.08%,13.53%,31.18%,-19.28%,7.01%,-,0.19,0.15%,0.92%,11.66%,20.07%,28.17%,-1.35%,46.91%,-1.35%,46.91%,67.19,0.00%,0.00%,-,0.65K,0.01,8.33,0.00%,0,-
6453,UBNK,"United Financial Bancorp, Inc.",Financial,Savings & Loans,USA,851.47M,14.43,13.07,1.44,3.73,1.23,5.32,36.39,2.83%,40.40%,1.17,-1.40%,9.55%,32.00%,10.00%,22.90%,5.70%,14.10%,50.26M,50.14M,1.40%,-3.63%,65.90%,0.18%,0.27%,1.19,0.90%,8.90%,19.70%,-,-,0.17,0.17,-,74.60%,26.20%,-6.67%,-6.51%,-7.23%,-7.38%,-1.63%,-3.97%,0.69,0.41,2.83%,2.08%,-4.42%,-5.68%,-3.46%,-12.45%,-0.53%,-12.45%,7.56%,34.83,-1.40%,-4.13%,2.60,115.37K,1.77,16.94,-5.47%,"203,960",Jan 23/a
6454,UBNT,"Ubiquiti Networks, Inc.",Technology,Wireless Communications,USA,5.96B,24.78,17.74,1.23,6.58,11.16,9.44,35.68,-,0.00%,3.15,24.20%,15.50%,97.70%,20.10%,19.60%,7.10%,20.10%,76.30M,21.51M,72.30%,-1.78%,36.00%,0.03%,39.65%,27.07,27.80%,45.70%,30.60%,9.00,7.90,0.50,0.53,45.10%,33.30%,28.80%,6.08%,15.58%,24.51%,46.75%,26.90%,10.01%,0.46,2.24,3.41%,2.82%,7.08%,13.68%,33.65%,-0.95%,34.48%,-0.95%,70.93%,75.23,-0.60%,0.14%,3.20,315.11K,2.23,78.13,-0.46%,"703,289",Feb 08/b
6455,UBOH,"United Bancshares, Inc.",Financial,Money Center Banks,USA,71.93M,16.20,-,-,3.07,0.96,-,-,2.16%,-,1.37,-,-,-,-,-,-70.80%,13.10%,3.24M,2.61M,0.10%,128.33%,18.50%,-,0.31%,4.58,-,-,-,-,-,-,-,-,-,-,0.91%,0.00%,4.23%,5.21%,16.69%,0.00%,0.34,0.26,1.39%,0.87%,1.62%,0.69%,1.66%,-3.48%,5.71%,-6.62%,14.14%,54.43,0.45%,0.46%,-,1.76K,6.29,22.20,0.91%,"11,067",Feb 01
6456,UBP,Urstadt Biddle Properties Inc.,Financial,REIT - Retail,USA,147.24M,19.94,-,-,1.20,1.67,-,-,5.47%,-,0.88,-,-,-,-,-,-16.20%,3.50%,8.39M,-,77.94%,0.00%,9.54%,-,-,1.27,-,-,-,-,-,-,-,-,-,-,-0.85%,4.78%,-2.50%,1.21%,-7.63%,3.54%,-,0.29,0.93%,1.42%,1.14%,-1.47%,0.48%,-6.65%,5.72%,-7.24%,11.93%,49.35,0.27%,0.00%,-,2.22K,1.04,17.55,0.27%,"2,314",Dec 28/a
6457,UBR,ProShares Ultra MSCI Brazil Capped,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63,-,-,-,-,-,-,-,-,-,-,12.06%,38.15%,26.92%,54.58%,41.56%,31.17%,-,2.93,2.67%,1.79%,20.25%,31.41%,40.26%,8.54%,56.49%,8.54%,112.00%,76.31,6.56%,6.39%,-,3.27K,1.22,102.44,13.37%,"3,981",-
6458,UBS,UBS Group AG,Financial,Foreign Money Center Banks,Switzerland,77.97B,18.78,13.98,7.83,5.30,1.38,0.15,-,5.86%,55.40%,1.10,-48.90%,15.95%,-4.90%,2.40%,-5.20%,15.20%,9.20%,3.78B,3.78B,-,-,-,-,0.16%,3.08,0.40%,7.60%,2.10%,-,-,1.60,1.60,-,46.50%,28.50%,5.95%,12.17%,19.10%,13.53%,22.49%,12.23%,1.16,0.26,1.33%,1.04%,8.11%,14.01%,20.54%,0.78%,22.82%,0.78%,36.69%,84.40,-0.48%,1.47%,1.00,2.01M,1.75,20.64,0.98%,"3,522,124",Jan 22/b
6459,UBSH,Union Bankshares Corporation,Financial,Regional - Mid-Atlantic Banks,USA,1.64B,21.23,15.52,2.65,5.14,1.60,9.28,22.15,2.20%,44.50%,1.80,18.80%,36.22%,10.60%,8.00%,9.30%,1.20%,14.10%,43.12M,38.06M,1.80%,0.18%,67.70%,0.01%,8.17%,13.78,0.90%,7.70%,16.20%,-,-,0.42,0.42,-,83.30%,24.60%,-1.37%,3.36%,9.51%,20.52%,7.29%,5.36%,1.22,0.78,1.83%,1.98%,2.26%,4.27%,11.32%,-2.53%,15.38%,-3.20%,29.19%,58.34,-0.10%,-2.20%,1.90,225.59K,16.69,38.11,-2.31%,"3,764,453",Jan 23/b
6460,UBSI,"United Bankshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,3.72B,19.00,14.57,1.90,6.50,1.16,1.94,93.55,3.78%,69.30%,1.90,0.50%,29.32%,4.30%,10.00%,8.20%,-0.20%,39.40%,103.42M,101.99M,1.80%,0.90%,67.20%,0.01%,7.18%,11.75,1.00%,6.20%,13.20%,-,-,0.07,0.07,-,83.80%,30.00%,-2.04%,-0.14%,-2.04%,-6.01%,-19.46%,3.60%,1.05,0.83,2.31%,2.10%,0.69%,0.95%,-2.23%,-6.37%,7.14%,-22.33%,13.56%,50.70,-2.44%,0.54%,3.00,623.02K,1.20,36.00,-1.91%,"750,512",Jan 30/b
6461,UBT,ProShares Ultra 20+ Year Treasury,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12,-,-,-,-,-,-,-,-,-,-,-3.00%,-3.26%,-1.93%,-0.61%,5.40%,-6.32%,-,1.35,1.11%,1.33%,-3.30%,-4.60%,-3.11%,-8.74%,0.40%,-9.90%,11.56%,36.52,0.26%,-1.34%,-,56.36K,0.76,78.30,-1.09%,"42,909",-
6462,UCBA,United Community Bancorp,Financial,Savings & Loans,USA,87.57M,24.73,-,-,5.41,1.21,-,-,1.92%,29.50%,0.84,2.80%,-,16.30%,-,-2.30%,-1.40%,5.10%,4.20M,3.52M,0.20%,0.00%,24.90%,-,0.16%,0.73,0.60%,4.70%,18.10%,-,-,0.00,0.00,-,82.30%,20.20%,0.97%,0.00%,7.20%,9.45%,29.50%,1.46%,0.05,0.57,0.55%,1.94%,0.15%,-0.43%,8.63%,-10.32%,4.77%,-10.32%,29.10%,49.56,1.71%,0.00%,-,7.57K,0.18,20.85,1.71%,"1,369",Feb 12/a
6463,UCBI,"United Community Banks, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,2.26B,21.32,13.84,21.32,6.09,1.87,8.43,13.55,1.28%,26.20%,1.47,28.20%,39.13%,17.40%,1.00%,2.10%,4.80%,15.70%,72.22M,67.86M,0.70%,-2.23%,90.90%,-0.07%,0.80%,1.27,0.90%,9.10%,19.80%,-,-,0.11,0.11,-,91.30%,27.70%,1.53%,8.66%,11.45%,8.32%,9.76%,11.05%,0.86,0.72,2.44%,2.20%,6.15%,9.97%,13.55%,-1.14%,21.31%,-1.14%,27.71%,68.61,-1.36%,0.38%,2.20,427.61K,1.40,31.25,-0.98%,"599,876",Jan 23/a
6464,UCC,ProShares Ultra Consumer Services,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,0.14%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.85,-,-,-,-,-,-,-,-,-,-,5.29%,17.36%,39.80%,40.39%,78.56%,17.94%,-,1.45,1.49%,1.12%,10.81%,21.04%,36.46%,-0.87%,41.11%,-0.87%,59.67%,91.05,-1.60%,1.70%,-,1.51K,1.03,96.06,0.07%,"1,562",-
6465,UCFC,United Community Financial Corp.,Financial,Savings & Loans,USA,481.85M,21.62,14.49,-,5.53,1.65,8.41,20.25,1.64%,37.00%,0.45,18.70%,18.07%,121.80%,-,-6.00%,36.70%,34.80%,49.42M,48.26M,1.30%,-12.89%,60.30%,0.29%,0.22%,1.34,0.80%,6.80%,19.50%,-,-,0.00,0.00,-,84.20%,21.50%,0.31%,3.50%,1.67%,4.39%,17.90%,6.79%,0.49,0.25,2.85%,2.56%,3.34%,3.05%,8.30%,-4.69%,12.63%,-4.69%,24.84%,58.94,-0.10%,-0.41%,2.00,80.15K,0.87,9.75,-0.51%,"69,988",Jan 23/a
6466,UCI,UBS ETRACS CMCI Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.20,-,-,-,-,-,-,-,-,-,-,1.55%,5.02%,7.39%,13.29%,6.81%,1.95%,-,0.13,0.69%,0.76%,2.00%,4.44%,10.45%,0.51%,8.62%,0.51%,31.08%,68.01,0.14%,0.85%,-,28.91K,0.16,15.69,0.99%,"4,556",-
6467,UCIB,UBS ETRACS BgCstMtCdy(CMCI)TtlRetETNSerB,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.49%,15.64%,19.55%,-,-,3.49%,-,0.34,0.00%,1.87%,8.14%,8.52%,15.71%,0.00%,53.76%,0.00%,53.76%,62.79,0.00%,0.00%,-,0.25K,0.00,15.53,0.00%,0,-
6468,UCO,ProShares Ultra Bloomberg Crude Oil,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.12,-,-,-,-,-,-,-,-,-,-,6.83%,27.88%,58.92%,79.02%,28.94%,20.14%,-,0.70,2.97%,2.53%,12.66%,23.73%,54.97%,3.47%,42.51%,3.47%,127.79%,79.99,4.22%,-0.30%,-,3.05M,1.20,28.16,3.91%,"3,650,414",-
6469,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor - Specialized,USA,816.41M,12.79,9.37,0.64,0.96,2.92,12.39,26.00,-,0.00%,1.88,189.20%,11.01%,-21.40%,20.00%,4.50%,626.60%,65.90%,33.89M,31.41M,2.40%,-13.90%,75.70%,-1.27%,5.54%,1.18,14.60%,26.20%,4.80%,2.10,1.10,0.15,0.21,18.00%,9.40%,7.60%,-3.56%,10.18%,-27.02%,0.29%,95.22%,4.33%,1.04,1.20,6.62%,4.84%,2.47%,4.87%,3.20%,-11.43%,27.73%,-30.36%,103.12%,51.07,-5.12%,0.16%,1.60,1.47M,1.16,24.09,-4.97%,"1,703,451",Feb 21/a
6470,UDBI,Legg Mason US Diversified Core ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.89%,13.68%,25.16%,28.29%,-,4.52%,-,0.32,0.06%,0.29%,4.96%,11.83%,23.29%,-0.09%,22.17%,-0.09%,23.60%,77.12,0.00%,0.00%,-,0.75K,0.23,32.97,0.00%,0,-
6471,UDN,PowerShares DB US Dollar Bearish ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,0.13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.62,-,-,-,-,-,-,-,-,-,-,1.49%,4.06%,4.48%,4.38%,10.69%,3.17%,-,0.10,0.25%,0.25%,2.57%,3.62%,5.21%,0.85%,5.67%,0.85%,12.83%,77.20,0.26%,0.61%,-,59.24K,2.77,23.09,0.87%,"163,993",-
6472,UDOW,ProShares UltraPro Dow30,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,0.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.20,-,-,-,-,-,-,-,-,-,-,1.85%,18.73%,43.72%,80.12%,132.84%,19.47%,-,2.20,2.19%,1.80%,10.60%,21.60%,57.73%,0.43%,44.28%,0.43%,137.56%,86.55,-0.31%,1.06%,-,641.77K,2.36,112.65,0.75%,"1,514,497",-
6473,UDR,"UDR, Inc.",Financial,REIT - Residential,USA,9.83B,118.77,108.61,-,9.97,3.51,5463.47,46.52,3.37%,112.80%,0.31,-9.30%,24.63%,19.40%,-,9.00%,-41.50%,3.20%,267.09M,264.75M,0.90%,-3.43%,99.20%,0.20%,1.65%,2.82,3.70%,9.80%,2.80%,-,-,1.31,1.31,67.80%,18.90%,29.00%,2.05%,-2.28%,-4.49%,-4.81%,2.79%,-4.41%,0.33,0.54,1.19%,1.35%,-0.97%,-4.15%,-4.34%,-8.70%,3.65%,-9.56%,7.00%,43.26,-0.35%,-0.22%,2.90,1.55M,1.04,36.82,-0.57%,"1,612,089",Feb 06/a
6474,UE,Urban Edge Properties,Financial,REIT - Diversified,USA,2.69B,26.47,34.41,6.16,6.85,2.88,7.08,-,3.65%,71.10%,0.91,132.80%,-21.35%,0.60%,4.30%,1.70%,-20.00%,17.60%,111.77M,102.94M,9.55%,0.00%,91.20%,0.26%,6.45%,13.82,5.70%,20.60%,8.00%,-,-,1.52,1.52,70.60%,50.30%,33.50%,1.13%,-3.21%,-1.71%,-4.67%,-15.41%,-5.49%,-,0.41,1.68%,1.56%,-2.19%,-3.39%,-3.13%,-8.02%,2.69%,-16.64%,4.15%,41.99,-0.50%,-0.08%,3.30,480.00K,0.93,24.09,-0.58%,"445,790",Feb 15/a
6475,UEC,Uranium Energy Corp.,Basic Materials,Industrial Metals & Minerals,USA,249.86M,-,-,-,-,3.70,13.43,-,-,-,-0.13,14.20%,11.10%,15.20%,-,-,18.60%,-,153.29M,152.64M,2.10%,0.00%,33.00%,-0.68%,6.03%,5.58,-23.00%,-34.40%,-,13.10,12.90,0.29,0.00,-,-,-,-2.40%,-13.76%,38.14%,-3.55%,-9.44%,-7.91%,1.77,0.11,5.49%,6.97%,-7.94%,-0.50%,12.70%,-18.50%,35.83%,-18.50%,69.79%,44.99,-2.40%,0.60%,2.20,1.65M,1.06,1.63,-1.81%,"1,745,954",Dec 11
6476,UEIC,Universal Electronics Inc.,Consumer Goods,Electronic Equipment,USA,662.23M,71.04,12.99,4.74,0.98,2.37,13.63,83.83,-,0.00%,0.66,-26.70%,27.96%,1.00%,15.00%,6.80%,-77.60%,3.80%,14.06M,13.82M,3.40%,-3.14%,97.20%,-1.12%,6.14%,9.05,1.80%,3.50%,6.00%,1.30,0.80,0.05,0.45,25.00%,2.60%,1.40%,3.86%,-2.28%,-25.47%,-34.99%,-27.54%,-0.32%,1.53,1.32,2.32%,3.02%,-1.04%,-4.88%,-21.81%,-16.42%,6.44%,-37.07%,6.44%,42.69,0.86%,0.00%,1.80,93.77K,0.95,47.10,0.86%,"89,269",Feb 15/a
6477,UEPS,"Net 1 UEPS Technologies, Inc.",Services,Business Services,South Africa,696.44M,10.01,7.59,1.00,1.15,0.97,5.03,-,-,-,1.21,-22.10%,-2.44%,6.20%,10.00%,9.30%,-25.60%,-1.90%,57.32M,46.14M,1.30%,-5.70%,59.10%,-0.10%,0.37%,0.32,-,-,7.40%,1.30,1.30,0.05,0.20,51.90%,-,-,5.65%,8.10%,27.76%,22.73%,3.67%,2.19%,0.64,0.49,3.70%,4.07%,2.49%,8.84%,19.95%,-7.95%,33.15%,-12.02%,36.98%,53.19,-1.22%,0.08%,1.00,544.34K,0.44,12.15,-1.14%,"241,993",Feb 08/a
6478,UEVM,USAA MSCI Emerg Mkts Val Mom Blnd ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.41,-,-,-,-,-,-,-,-,-,-,2.44%,9.85%,-,-,-,8.08%,-,0.41,0.52%,0.50%,4.73%,8.41%,8.77%,0.74%,13.38%,0.74%,13.38%,76.26,0.05%,0.74%,-,28.08K,0.63,55.52,0.80%,"17,737",-
6479,UFAB,"Unique Fabricating, Inc.",Consumer Goods,Auto Parts,USA,79.47M,12.73,10.07,0.61,0.45,1.54,79.47,-,7.54%,94.80%,0.63,15.70%,23.44%,-,21.00%,-,-71.60%,-8.00%,9.99M,8.17M,16.23%,-,35.00%,-4.38%,0.20%,0.96,4.90%,12.20%,8.70%,2.40,1.60,1.00,1.07,22.80%,6.20%,3.50%,0.69%,8.97%,-6.53%,-10.92%,-35.59%,7.20%,-,0.30,2.19%,3.77%,1.00%,0.41%,-10.38%,-10.32%,12.83%,-40.19%,12.83%,50.43,0.00%,-0.43%,2.00,17.15K,0.01,7.95,-0.43%,104,Feb 08/b
6480,UFCS,"United Fire Group, Inc.",Financial,Property & Casualty Insurance,USA,1.08B,99.84,21.10,9.98,1.00,1.16,10.98,9.35,2.54%,108.00%,0.44,-45.70%,328.54%,-15.66%,10.00%,10.00%,-269.70%,5.50%,24.58M,20.65M,0.40%,-10.46%,60.70%,0.03%,0.60%,2.14,0.60%,2.60%,5.30%,-,-,0.00,0.00,-,1.10%,2.30%,-2.48%,-2.89%,-5.62%,-2.22%,-6.22%,-3.40%,0.63,1.30,4.06%,2.58%,-1.57%,-4.61%,-1.13%,-10.60%,4.71%,-11.48%,12.97%,40.46,-1.94%,0.42%,2.70,57.50K,1.18,44.03,-1.52%,"68,083",Feb 15/b
6481,UFI,"Unifi, Inc.",Industrial Goods,Textile Industrial,USA,640.27M,20.51,16.99,1.21,0.98,1.75,-,25.11,-,0.00%,1.75,-4.60%,9.02%,25.90%,17.00%,-1.70%,-5.80%,2.60%,17.82M,16.75M,7.80%,2.83%,81.00%,0.23%,0.62%,1.94,5.70%,9.10%,6.40%,3.40,1.80,0.29,0.33,14.40%,6.10%,5.00%,-1.24%,1.47%,-1.45%,18.58%,14.65%,0.17%,0.82,0.89,2.29%,2.33%,-0.22%,0.09%,10.86%,-5.32%,5.46%,-8.37%,38.06%,48.69,-1.94%,0.19%,1.50,53.31K,0.97,35.93,-1.75%,"51,497",Jan 25/b
6482,UFPI,"Universal Forest Products, Inc.",Industrial Goods,"Lumber, Wood Production",USA,2.29B,21.51,18.00,4.30,0.60,2.46,69.90,-,0.89%,8.40%,1.78,25.90%,14.27%,84.70%,5.00%,12.20%,20.60%,27.80%,60.02M,59.90M,1.20%,-5.44%,85.10%,-0.13%,0.89%,1.77,7.50%,12.00%,11.10%,2.60,1.40,0.16,0.19,14.00%,4.50%,2.80%,2.36%,-0.80%,4.36%,32.01%,10.09%,1.54%,1.79,0.80,1.75%,1.95%,0.85%,0.96%,17.71%,-3.49%,10.02%,-3.49%,47.30%,53.38,0.29%,0.66%,1.70,302.69K,0.56,38.20,0.95%,"170,764",Feb 21/a
6483,UFPT,"UFP Technologies, Inc.",Consumer Goods,Packaging & Containers,USA,206.57M,26.37,16.39,-,1.40,1.73,5.55,27.91,-,0.00%,1.09,4.20%,57.14%,-5.80%,-,2.80%,-36.80%,-4.00%,7.16M,6.50M,7.60%,0.00%,82.40%,-0.49%,0.30%,1.10,6.00%,6.80%,6.90%,7.30,6.00,0.00,0.00,24.40%,8.10%,5.40%,1.58%,3.96%,-3.51%,4.91%,17.76%,3.78%,0.11,0.83,2.14%,2.79%,2.37%,4.35%,4.35%,-2.04%,10.96%,-8.41%,25.71%,58.48,-1.37%,0.86%,1.00,17.62K,3.00,28.85,-0.52%,"52,770",Feb 01/b
6484,UFS,Domtar Corporation,Consumer Goods,Paper & Paper Products,Canada,3.17B,18.14,15.06,3.63,0.62,1.10,22.17,14.48,3.28%,59.40%,2.79,-8.90%,21.23%,-14.80%,5.00%,-1.90%,18.30%,1.70%,62.70M,62.64M,0.09%,-41.94%,96.40%,0.04%,5.87%,6.31,3.10%,6.40%,4.90%,2.30,1.20,0.40,0.40,20.30%,5.30%,3.40%,1.59%,1.63%,14.57%,28.71%,23.46%,2.12%,1.59,0.96,1.47%,1.73%,0.58%,3.87%,20.22%,-1.94%,12.70%,-1.94%,42.57%,55.16,-1.48%,0.41%,3.00,582.43K,0.68,50.57,-1.08%,"396,242",Feb 08/b
6485,UG,"United-Guardian, Inc.",Consumer Goods,Personal Products,USA,88.50M,24.07,-,-,6.97,5.79,7.25,46.58,5.33%,105.20%,0.78,-44.00%,-,-11.40%,-,-5.60%,21.10%,-8.60%,4.72M,2.82M,6.70%,0.00%,23.70%,-,0.21%,1.02,22.80%,25.10%,16.50%,9.80,9.10,0.00,0.00,57.10%,38.20%,28.30%,-0.27%,-1.83%,1.13%,22.74%,24.17%,1.35%,0.06,0.60,2.41%,2.89%,0.58%,4.87%,14.18%,-9.93%,28.10%,-9.93%,39.75%,55.26,0.94%,0.41%,-,5.84K,0.18,18.75,1.35%,"1,063",Feb 08/b
6486,UGA,United States Gasoline,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.15,-,-,-,-,-,-,-,-,-,-,2.74%,9.15%,15.81%,32.62%,16.12%,6.97%,-,0.52,1.42%,1.33%,4.92%,7.51%,21.88%,0.35%,18.71%,0.35%,52.78%,70.57,1.01%,-0.50%,-,31.25K,1.67,34.07,0.50%,"52,306",-
6487,UGAZ,VelocityShares 3x Long Natural Gas ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.62,-,-,-,-,-,-,-,-,-,-,1.78%,71.90%,-18.50%,-28.95%,-70.40%,20.32%,-,7.79,8.99%,9.07%,20.70%,12.90%,-29.27%,-23.82%,76.05%,-74.69%,76.05%,58.60,-3.68%,1.25%,-,3.64M,0.92,87.53,-2.47%,"3,363,744",-
